title,link,rubrique,source,page,titre,url,date
,,Politique,lefaso.net,1.0,Burkina : le partenariat public-privé se renforce pour accélérer les projets structurants,https://lefaso.net/spip.php?article140127,
,,Politique,lefaso.net,1.0,"Burkina/ Évaluation des ministres : 54 %, la moyenne globale après trois jours de bilan",https://lefaso.net/spip.php?article139954,
,,Politique,lefaso.net,1.0,"Burkina/Évaluation des ministres : Jacques Sosthène Dingara affiche un taux d’exécution de 62,15%",https://lefaso.net/spip.php?article139948,
,,Politique,lefaso.net,1.0,"Burkina/Evaluation des contrats d’objectifs 2025 : Un taux d’exécution de 50,36% pour le ministre Adama Luc Sorgho ‎",https://lefaso.net/spip.php?article139947,
,,Politique,lefaso.net,1.0,"Burkina/Évaluation des ministres : Un taux global de mise en oeuvre de  60,85% pour le ministre en charge du commerce",https://lefaso.net/spip.php?article139946,
,,Politique,lefaso.net,1.0,"Burkina/ Évaluation des ministres : Un taux d’exécution de 49,15% pour le ministre Yacouba Gouba",https://lefaso.net/spip.php?article139956,
,,Politique,lefaso.net,1.0,"Burkina/ Évaluation des ministres : Dr Aboubakar Nacanabo atteint un taux d’exécution de 54,10% ‎",https://lefaso.net/spip.php?article139957,
,,Politique,lefaso.net,1.0,"Burkina/Évaluation des ministres : Le ministre de l’enseignement supérieur atteint 55,35% d’exécution au premier semestre",https://lefaso.net/spip.php?article139955,
,,Politique,lefaso.net,1.0,Burkina/Évaluation des ministres : La ministre en charge de la Transition digitale réalise 53% de son contrat d’objectifs au premier semestre de l’année,https://lefaso.net/spip.php?article139922,
,,Politique,lefaso.net,1.0,Burkina/Anniversaire de la Révolution du 4 Août 83 : Le président du Faso exhorte à poursuivre l’élan de Sankara,https://lefaso.net/spip.php?article139914,
,,Politique,lefaso.net,1.0,"Burkina/Évaluation des ministres : 72,70% du territoire reconquis, selon le Général Célestin Simporé, ministre en charge de la Défense",https://lefaso.net/spip.php?article139891,
,,Politique,lefaso.net,1.0,Burkina/Évaluation des ministres : Bientôt la traque aux villas meublées pour assainir le milieu du tourisme,https://lefaso.net/spip.php?article139904,
,,Politique,lefaso.net,1.0,"Burkina/Évaluation des ministres : 46,74% du contrat d’objectifs réalisés par le département de la santé au premier semestre de l’année",https://lefaso.net/spip.php?article139907,
,,Politique,lefaso.net,1.0,"Burkina/Évaluation des ministres : 51,83% d’exécution du contrat d’objectifs pour le ministre Mathias Traoré",https://lefaso.net/spip.php?article139901,
,,Politique,lefaso.net,1.0,"Burkina/Évaluation des ministres : Le département en charge de l’Agriculture affiche un taux d’exécution de 56,63 % à mi-parcours",https://lefaso.net/spip.php?article139897,
,,Politique,lefaso.net,1.0,Burkina : Le président du Faso reçoit des présidents de cours constitutionnelles,https://lefaso.net/spip.php?article139836,
,,Politique,lefaso.net,1.0,"Burkina : « Il y a lieu de sortir la constitution du cercle de quelques personnes éclairées, pour l’orienter vers les masses populaires », conseille le président du Faso, capitaine Ibrahim Traoré",https://lefaso.net/spip.php?article139783,
,,Politique,lefaso.net,1.0,"Burkina/Liberté d’association : L’ALT adopte une loi pour assainir le milieu des associations, des ONG et des syndicats",https://lefaso.net/spip.php?article139552,
,,Politique,lefaso.net,1.0,Burkina : Le gouvernement adopte un projet de loi portant dissolution de la CENI,https://lefaso.net/spip.php?article139529,
,,Politique,lefaso.net,1.0,Burkina : Des autorisations d’associations et d’ONG révoquées pour non-respect de la législation nationale,https://lefaso.net/spip.php?article139240,
,,Politique,lefaso.net,2.0,"Burkina : « Cette réorganisation du territoire repose sur un critère principal : la défense stratégique de notre pays », explique le ministre d’État Emile Zerbo",https://lefaso.net/spip.php?article139232,
,,Politique,lefaso.net,2.0,"Burkina : Réorganisation du territoire national, les ministres Émile Zerbo et Gilbert Ouédraogo donnent davantage de clarifications",https://lefaso.net/spip.php?article139216,
,,Politique,lefaso.net,2.0,Burkina : Le Président du Faso séjournera dans la région du Centre-Sud à partir du 14 juin 2025,https://lefaso.net/spip.php?article138780,
,,Politique,lefaso.net,2.0,Assemblée législative de transition : Les députés examinent le projet de loi portant code de procédure pénale,https://lefaso.net/spip.php?article138716,
,,Politique,lefaso.net,2.0,"Burkina/ Nouvelle loi portant organisation judiciaire : Chambres pour mineurs, juge unique, audiences en langues nationales…voici quelques innovations",https://lefaso.net/spip.php?article138692,
,,Politique,lefaso.net,2.0,"Burkina Faso : L’hymne de l’AES le « Sahel benkan » a retentit a Koulouba, lors de la traditionnelle montée des couleurs",https://lefaso.net/spip.php?article138680,
,,Politique,lefaso.net,2.0,"Témoignage : Valère, mon maître idéologique et politique",https://lefaso.net/spip.php?article138433,
,,Politique,lefaso.net,2.0,Diplomatie : Un émissaire du président Donald Trump dépêché à Ouagadougou,https://lefaso.net/spip.php?article138459,
,,Politique,lefaso.net,2.0,"Burkina/ Assemblée législative de Transition : L’examen des projets de loi portant organisation judiciaire et Code de procédure pénale renvoyé, suite à des amendements du gouvernement",https://lefaso.net/spip.php?article138343,
,,Politique,lefaso.net,2.0,"Coopération Burkina-Russie : "" Nous sommes entrain d’approfondir les volets défense-sécurité mais aussi des volets éducations [...] notamment dans la science"" Le chef de l’État Ibrahim Traoré",https://lefaso.net/spip.php?article138103,
,,Politique,lefaso.net,2.0,"Burkina / Sécurité : « On ne peut pas parler de souveraineté et avoir l’armée d’un autre pays sur notre sol qui nous dicte ce qu’il faut faire », capitaine Ibrahim Traoré",https://lefaso.net/spip.php?article138073,
,,Politique,lefaso.net,2.0,Gouvernance du MPSR2 : Ce que les fasonautes en pensent,https://lefaso.net/spip.php?article137844,
,,Politique,lefaso.net,2.0,Burkina : Immersion patriotique obligatoire pour les élèves (CONSEIL DES MINISTRES DU 2 MAI 2025),https://lefaso.net/spip.php?article137862,
,,Politique,lefaso.net,2.0,"Burkina : Tout est mis en œuvre pour déjouer les tentatives de déstabilisation, selon le Premier ministre Jean-Emmanuel Ouédraogo",https://lefaso.net/spip.php?article137767,
,,Politique,lefaso.net,2.0,"Burkina : Une tentative de déstabilisation déjouée, rapporte le ministre de la Sécurité, Mahamadou Sana",https://lefaso.net/spip.php?article137587,
,,Politique,lefaso.net,2.0,Et Lamizana riait : Anecdote sur l’art de gouverner,https://lefaso.net/spip.php?article137381,
,,Politique,lefaso.net,2.0,"Burkina Faso : « Nous sommes bien en révolution progressiste populaire », annonce le chef de l’État, le Capitaine Ibrahim Traoré",https://lefaso.net/spip.php?article137130,
,,Politique,lefaso.net,2.0,"Burkina Faso : « Nous serons impitoyables et sans état d’âme », prévient le chef de l’État, le Capitaine Ibrahim Traoré",https://lefaso.net/spip.php?article137133,
,,Politique,lefaso.net,2.0,"Burkina Faso : « Se sacrifier et donner le meilleur de soi-même pour le bonheur de notre peuple », le mot d’ordre du chef de l’État",https://lefaso.net/spip.php?article137134,
,,Politique,lefaso.net,2.0,Sondage sur la gouvernance du MPSR2,https://lefaso.net/spip.php?article136977,
,,Politique,lefaso.net,3.0,2e édition des journées d’engagement patriotique : Le président du Faso appelle au respect de l’ordre et de la discipline,https://lefaso.net/spip.php?article136999,
,,Politique,lefaso.net,3.0,"Burkina/Lutte contre le terrorisme : « Aucun centimètre carré du pays ne sera cédé », martèle le Premier ministre",https://lefaso.net/spip.php?article136772,
,,Politique,lefaso.net,3.0,"Burkina/Discours sur la situation de la Nation : « Globalement, nous sommes satisfaits, mais il y a des aspects pour lesquels nous attendons des actions concrètes sur le terrain », confie le député Nassouri Daaga",https://lefaso.net/spip.php?article136762,
,,Politique,lefaso.net,3.0,Discours sur la situation de la Nation : Voici l’intégralité du discours du Premier ministre,https://lefaso.net/spip.php?article136729,
,,Politique,lefaso.net,3.0,Burkina Faso : Le Premier ministre fait son discours sur la situation de la nation ce vendredi 14 mars 2025,https://lefaso.net/spip.php?article136705,
,,Politique,lefaso.net,3.0,Burkina : Adoption d’un décret pour protéger la population des dangers du tabagisme,https://lefaso.net/spip.php?article136701,
,,Politique,lefaso.net,3.0,Burkina : Réalisation de plusieurs infrastructures routières en perspective,https://lefaso.net/spip.php?article136542,
,,Politique,lefaso.net,3.0,Burkina :  Création d’un établissement public de l’État à caractère professionnel,https://lefaso.net/spip.php?article136543,
,,Politique,lefaso.net,3.0,"Burkina : « Il n’y a pas de raison de se démotiver, parce que l’histoire nous a toujours donné raison, et l’histoire continuera de nous donner raison », motive le président Ibrahim Traoré",https://lefaso.net/spip.php?article136486,
,,Politique,lefaso.net,3.0,"Burkina/Rapport de la Cour des comptes : Premier ministère, tête de liste des fautes de gestion de 2016 à 2022",https://lefaso.net/spip.php?article136479,
,,Politique,lefaso.net,3.0,Burkina : Création d’un orchestre de la Présidence du Faso,https://lefaso.net/spip.php?article136175,
,,Politique,lefaso.net,3.0,"Evaluation des membres du gouvernement : Taux d’exécution de 90,4% pour le ministère en charge du numérique",https://lefaso.net/spip.php?article136151,
,,Politique,lefaso.net,3.0,"Bilan de l’évaluation 2024 des contrats d’objectifs : Une performance moyenne de 88,33% enregistrée",https://lefaso.net/spip.php?article136135,
,,Politique,lefaso.net,3.0,"Evaluation des contrats d’objectifs 2024 : L’Enseignement supérieur réalise une performance de 81,7%",https://lefaso.net/spip.php?article136128,
,,Politique,lefaso.net,3.0,Evaluation des contrats d’objectifs 2024 : Une performance de 82% pour le ministère en charge de l’Enseignement secondaire,https://lefaso.net/spip.php?article136127,
,,Politique,lefaso.net,3.0,"Evaluation des contrats d’objectifs 2024 : Le ministère en charge de l’Energie enregistre un taux d’exécution de 85,83%",https://lefaso.net/spip.php?article136124,
,,Politique,lefaso.net,3.0,𝐄́𝐯𝐚𝐥𝐮𝐚𝐭𝐢𝐨𝐧 𝐝𝐞𝐬 𝐜𝐨𝐧𝐭𝐫𝐚𝐭𝐬 𝐝’𝐨𝐛𝐣𝐞𝐜𝐭𝐢𝐟𝐬 𝟐𝟎𝟐𝟒 𝐝𝐮 𝐆𝐨𝐮𝐯𝐞𝐫𝐧𝐞𝐦𝐞𝐧𝐭 :  𝐔𝐧 𝐭𝐚𝐮𝐱 𝐝𝐞 𝐫é𝐚𝐥𝐢𝐬𝐚𝐭𝐢𝐨𝐧 𝐝𝐞 𝟖𝟗 % 𝐩𝐨𝐮𝐫 𝐥𝐞 𝐦𝐢𝐧𝐢𝐬𝐭è𝐫𝐞 𝐞𝐧 𝐜𝐡𝐚𝐫𝐠𝐞 𝐝𝐞 𝐥𝐚 𝐃é𝐟𝐞𝐧𝐬𝐞 𝐧𝐚𝐭𝐢𝐨𝐧𝐚𝐥𝐞,https://lefaso.net/spip.php?article136113,
,,Politique,lefaso.net,3.0,"𝐂𝐨𝐧𝐭𝐫𝐚𝐭𝐬 𝐝’𝐨𝐛𝐣𝐞𝐜𝐭𝐢𝐟𝐬 𝟐𝟎𝟐𝟒 : 𝐥𝐞 𝐦𝐢𝐧𝐢𝐬𝐭è𝐫𝐞 𝐝𝐞 𝐥’𝐀𝐜𝐭𝐢𝐨𝐧 𝐡𝐮𝐦𝐚𝐧𝐢𝐭𝐚𝐢𝐫𝐞 𝐞𝐭 𝐝𝐞 𝐥𝐚 𝐒𝐨𝐥𝐢𝐝𝐚𝐫𝐢𝐭é 𝐧𝐚𝐭𝐢𝐨𝐧𝐚𝐥𝐞 𝐞𝐧𝐫𝐞𝐠𝐢𝐬𝐭𝐫𝐞 𝐮𝐧 𝐭𝐚𝐮𝐱 𝐝’𝐞𝐱é𝐜𝐮𝐭𝐢𝐨𝐧 𝐝𝐞 𝟗𝟏,𝟐𝟑 %",https://lefaso.net/spip.php?article136111,
,,Politique,lefaso.net,3.0,Ministère de la Sécurité : Un taux d’exécution des activités de 92% en 2024,https://lefaso.net/spip.php?article136090,
,,Politique,lefaso.net,3.0,Evaluation de contrats d’objectifs 2024 : La diplomatie burkinabè enregistre un taux de rayonnement de plus de 90%,https://lefaso.net/spip.php?article136097,
,,Politique,lefaso.net,4.0,Evaluation des contrats d’objectifs 2024 :  Le ministre Mathias Traoré satisfait de la note de son département,https://lefaso.net/spip.php?article136096,
,,Politique,lefaso.net,4.0,"Evaluation des contrats d’objectifs 2024 : Une performance de 93,34% pour le ministère de l’Agriculture",https://lefaso.net/spip.php?article136082,
,,Politique,lefaso.net,4.0,Evaluation des contrats d’objectifs des membres du gouvernement : Le ministère de l’Economie et des finances affiche un taux de 88%,https://lefaso.net/spip.php?article136081,
,,Politique,lefaso.net,4.0,"Evaluation des contrats d’objectifs 2024 des membres du Gouverment : 84,60% de taux de réalisation pour le ministère des Infrastructures et du désenclavement",https://lefaso.net/spip.php?article136073,
