word,frequency,vector_norm,vector_dim
burkina,3,25.666609,96
partenariat,1,23.4112,96
publicpriver,1,26.550772,96
renforcer,1,25.445688,96
accélérer,1,27.754381,96
projet,1,25.324053,96
structurant,1,27.202078,96
évaluation,1,24.078264,96
ministre,2,24.378017,96
moyenne,1,24.64219,96
global,1,28.77381,96
jour,1,25.533554,96
bilan,1,25.333298,96
burkinaévaluation,1,24.109877,96
jacques,1,28.763943,96
sosthène,1,24.191082,96
dingara,1,25.139074,96
affich,1,25.26049,96
taux,1,25.210285,96
exécution,1,24.25755,96
province,2,22.088734,96
soum,1,24.734694,96
région,2,25.805561,96
sahel,1,24.824585,96
incident,1,26.562504,96
sécuritaire,1,25.022617,96
rapporter,1,28.46799,96
zone,2,22.749493,96
frontalier,1,25.791212,96
loudalan,1,23.101017,96
nord,1,27.302008,96
attaqu,1,24.630423,96
contre,1,26.807888,96
convoi,1,24.266525,96
civil,1,23.118917,96
frontièr,1,25.387009,96
mali,1,22.478456,96
frontière,2,26.15774,96
violence,1,22.420712,96
armé,1,28.506365,96
signaler,1,27.38788,96
malien,1,25.235668,96
